
16:30:06 | INFO    | frs.engine.trainer     | ep 17 [34784/88698] loss 0.9387  acc 80.34%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:30:18 | INFO    | frs.engine.trainer     | ep 17 [34834/88698] loss 0.9150  acc 80.76%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:30:30 | INFO    | frs.engine.trainer     | ep 17 [34884/88698] loss 0.9043  acc 80.84%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:30:42 | INFO    | frs.engine.trainer     | ep 17 [34934/88698] loss 0.8729  acc 81.95%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:30:54 | INFO    | frs.engine.trainer     | ep 17 [34984/88698] loss 0.9348  acc 80.50%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:31:06 | INFO    | frs.engine.trainer     | ep 17 [35034/88698] loss 0.9169  acc 80.39%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:31:19 | INFO    | frs.engine.trainer     | ep 17 [35084/88698] loss 0.9296  acc 80.92%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:31:31 | INFO    | frs.engine.trainer     | ep 17 [35134/88698] loss 0.9115  acc 81.08%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:31:43 | INFO    | frs.engine.trainer     | ep 17 [35184/88698] loss 0.9260  acc 80.46%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:31:55 | INFO    | frs.engine.trainer     | ep 17 [35234/88698] loss 0.9669  acc 80.16%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:32:07 | INFO    | frs.engine.trainer     | ep 17 [35284/88698] loss 0.9337  acc 80.59%  lr 0.00038  fnorm 22.6  wnorm 0.2567  789 img/s
16:32:19 | INFO    | frs.engine.trainer     | ep 17 [35334/88698] loss 1.0013  acc 79.72%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:32:32 | INFO    | frs.engine.trainer     | ep 17 [35384/88698] loss 0.9864  acc 79.72%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:32:44 | INFO    | frs.engine.trainer     | ep 17 [35434/88698] loss 1.0151  acc 79.46%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:32:56 | INFO    | frs.engine.trainer     | ep 17 [35484/88698] loss 0.9887  acc 79.81%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:33:08 | INFO    | frs.engine.trainer     | ep 17 [35534/88698] loss 0.9807  acc 80.09%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
